Massachusetts Mutual Life Insurance Co.	nan	Springfield, MA	●	●	●	●	●	●	●	●	nan	100	100.0	94.0
MasterCard Inc.	nan	Purchase, NY	●	●	●	●	●	●	●	●	nan	100	100.0	348.0
Mayer Brown LLP	nan	Chicago, IL	●	●	●	●	●	●	●	●	nan	100	100.0	nan
McDermott Will & Emery LLP	nan	Chicago, IL	●	●	●	●	●	●	●	●	nan	100	100.0	nan
McKesson Corp.	nan	San Francisco, CA	●	●	●	●	●	●	●	●	nan	100	100.0	14.0
McKinsey & Co. Inc.	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Medtronic Inc.	nan	Minneapolis, MN	●	●	●	●	●	●	●	●	nan	100	100.0	172.0
Merck & Co. Inc.	nan	Whitehouse Station, NJ	●	●	●	●	●	●	●	●	nan	100	100.0	58.0
MetLife Inc.	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	40.0
MGM Resorts International	nan	Las Vegas, NV	●	●	●	●	●	●	●	●	nan	100	100.0	292.0
Microsoft Corp.	nan	Redmond, WA	●	●	●	●	●	●	●	●	nan	100	100.0	35.0
Milbank, Tweed, Hadley & McCloy LLP	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	nan
MillerCoors LLC	nan	Chicago, IL	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Mintz, Levin, Cohn, Ferris, Glovsky & Popeo PC	nan	Boston, MA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Mitchell Gold + Bob Williams	nan	Taylorsville, NC	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Mondelez International Inc.	nan	East Hanover, nj	●	●	●	●	●	●	●	●	nan	100	nan	88.0
Monsanto Co.	nan	St. Louis, MO	●	●	●	●	●	●	●	●	nan	100	100.0	206.0
Moody’s Corp.	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	765.0
Morgan Lewis & Bockius LLP	nan	Philadelphia, PA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Morgan Stanley	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	96.0
Morrison & Foerster LLP	nan	San Francisco, CA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
MSLGROUP Americas	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Nationwide	nan	Columbus, OH	●	●	●	●	●	●	●	●	nan	100	100.0	100.0
Navigant Consulting Inc.	nan	Chicago , IL	●	●	●	●	●	●	●	●	nan	100	100.0	nan
NCR Corp.	nan	Duluth, GA	●	●	●	●	●	●	●	●	nan	100	90.0	441.0
NetApp Inc.	nan	Sunnyvale, CA	●	●	●	●	●	●	●	●	nan	100	90.0	408.0
New York Life Insurance Co.	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	90.0	89.0
Newell Rubbermaid Inc.	nan	Atlanta, GA	●	●	●	●	●	●	●	●	nan	100	85.0	433.0
Nielsen Co., The	nan	New York City, NY	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Nike Inc.	nan	Beaverton, OR	●	●	●	●	●	●	●	●	nan	100	100.0	126.0
Nissan North America Inc.	nan	Franklin, TN	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Nixon Peabody LLP	nan	Boston, MA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Nordstrom Inc.	nan	Seattle, WA	●	●	●	●	●	●	●	●	nan	100	100.0	227.0
Northern Trust Corp.	nan	Chicago, IL	●	●	●	●	●	●	●	●	nan	100	100.0	561.0
Northrop Grumman Corp.	nan	Falls Church, VA	●	●	●	●	●	●	●	●	nan	100	95.0	120.0
Northwestern Mutual Life Insurance	nan	Milwaukee, WI	●	●	●	●	●	●	●	●	nan	100	90.0	114.0
Novartis Pharmaceuticals Corp.	nan	East Hanover, NJ	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Office Depot Inc.	nan	Boca Raton, FL	●	●	●	●	●	●	●	●	nan	100	100.0	253.0
Ogilvy Group Inc., The	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	90.0	nan
O’Melveny & Myers LLP	nan	Los Angeles, CA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Oracle Corp.	nan	Redwood City, CA	●	●	●	●	●	●	●	●	nan	100	100.0	80.0
Orbitz Worldwide Inc.	nan	Chicago, IL	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Orrick, Herrington & Sutcliffe LLP	nan	San Francisco, CA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Owens Corning	nan	Toledo, OH	●	●	●	●	●	●	●	●	nan	100	100.0	476.0
Patterson Belknap Webb & Tyler LLP	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Paul Hastings LLP	nan	Los Angeles, CA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Paul, Weiss, Rifkind, Wharton & Garrison LLP	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Pearson Inc.	nan	Upper Saddle River, NJ	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Pepper Hamilton LLP	nan	Philadelphia, PA	●	●	●	●	●	●	●	●	nan	100	90.0	nan
PepsiCo Inc.	nan	Purchase, NY	●	●	●	●	●	●	●	●	nan	100	100.0	43.0
Perkins Coie LLP	nan	Seattle, WA	●	●	●	●	●	●	●	●	nan	100	100.0	nan
Pfizer Inc.	nan	New York, NY	●	●	●	●	●	●	●	●	nan	100	100.0	48.0
PG&E Corp.	San Francisco, CA	●	●	●	●	●	●	●	●	nan	100	100	183.0
Pillsbury Winthrop Shaw Pittman LLP	New York, NY	●	●	●	●	●	●	●	●	nan	100	100	nan
PNC Financial Services Group Inc., The	Pittsburgh, PA	●	●	●	●	●	●	●	●	nan	100	100	170.0
Portland General Electric Co.	Portland, OR	●	●	●	●	●	●	●	●	nan	100	100	nan
PricewaterhouseCoopers LLP	New York, NY	●	●	●	●	●	●	●	●	nan	100	100	nan
