company_name	location	cei_2016	cei_2015	forbes_1000
Caesars Entertainment Corp.	Las Vegas, NV		100.0	264.0
Campbell Soup Co.	Camden, NJ		100.0	299.0
Capital One Financial Corp.	McLean, VA		100.0	144.0
Cardinal Health Inc.	Dublin, OH		100.0	17.0
Cargill Inc.	Wayzata, MN		100.0	
Carlton Fields PA	Tampa, FL		100.0	
Chapman and Cutler LLP	Chicago, IL		100.0	
"Charles Schwab Corp., The"	San Francisco, CA		100.0	465.0
Chevron Corp.	San Ramon, CA		100.0	3.0
"Choate, Hall & Stewart LLP"	Boston, MA		100.0	
Choice Hotels International Inc.	Silver Spring, MD		100.0	
Chrysler LLC	Auburn Hills, MI		100.0	
Chubb Corp.	Warren, NJ		100.0	176.0
Cisco Systems Inc.	San Jose, CA		100.0	58.0
Citigroup Inc.	New York, NY		100.0	12.0
Clifford Chance uS LLP	New York, NY		100.0	
Clorox Co.	Oakland, CA		100.0	384.0
"Coca-Cola Co., The"	Atlanta, GA		100.0	72.0
Corning Inc.	Corning, NY		100.0	391.0
Covington & Burling LLP	Washington, DC		100.0	
Credit Suisse uSA Inc.	New York, NY		100.0	
Crowell & Moring LLP	Washington, DC		100.0	
Cummins Inc.	Columbus, IN		100.0	218.0
Debevoise & Plimpton LLP	New York, NY		100.0	
Delhaize America Inc.	Salisbury, NC		100.0	
Dell Inc.	Round Rock, TX		100.0	38.0
Deloitte LLP	New York, NY		100.0	
Deutsche Bank	New York, NY		100.0	
Dewey & LeBoeuf LLP	New York, NY		100.0	
Diageo North America	Norwalk, CT		100.0	
DLA Piper	Baltimore, MD		100.0	
Dorsey & Whitney LLP	Minneapolis, MN		100.0	
"Dow Chemical Co., The"	Midland, MI		100.0	46.0
E. I. du Pont de Nemours and Co. (DuPont)	Wilmington, DE		100.0	86.0
Eastman Kodak Co.	Rochester, NY		100.0	297.0
eBay Inc.	San Jose, CA		100.0	267.0
Edwards Angell Palmer & Dodge LLP	Boston, MA		100.0	
Eli Lilly & Co.	Indianapolis, IN		100.0	112.0
EMC Corp.	Hopkinton, MA		100.0	166.0
Ernst & Young LLP	New York, NY		100.0	
Exelon Corp.	Chicago, IL		100.0	134.0
Faegre & Benson LLP	Minneapolis, MN		100.0	
Federal Home Loan Mortgage Corp. (Freddie Mac)	McLean, VA		100.0	54.0
Fenwick & West LLP	Mountain View, CA		100.0	
Ford Motor Co.	Dearborn, MI		100.0	8.0
"Fried, Frank, Harris, Shriver & Jacobson LLP"	New York, NY		100.0	
Gap Inc.	San Francisco, CA		100.0	162.0
Genentech Inc.	South San Francisco, CA		100.0	
General Mills Inc.	Minneapolis, MN		100.0	155.0
"Gibson, Dunn & Crutcher LLP"	Los Angeles, CA		100.0	
GlaxoSmithKline plc	Philadelphia, PA		100.0	
"Goldman Sachs Group Inc., The"	New York, NY		100.0	39.0
Google Inc.	Mountain View, CA		100.0	102.0
Group Health Cooperative	Seattle, WA		100.0	
Herman Miller Inc.	Zeeland, MI		100.0	965.0
Hewlett-Packard Co.	Palo Alto, CA		100.0	10.0
Hinshaw & Culbertson LLP	Chicago, IL		100.0	
Hogan Lovells uS LLP	Washington, DC		100.0	
Hyatt Hotels Corp.	Chicago, IL		100.0	581.0
ING North America Insurance Corp.	Atlanta, GA		100.0	
International Business Machines Corp. (IBM)	Armonk, NY		100.0	20.0
Intuit Inc.	Mountain View, CA		100.0	610.0
Jenner & Block LLP	Chicago, IL		100.0	
Johnson & Johnson	New Brunswick, NJ		100.0	33.0
JPMorgan Chase & Co.	New York, NY		100.0	9.0
K&L Gates LLP	Pittsburgh, PA		100.0	
Kellogg Co.	Battle Creek, MI		100.0	184.0
Kimpton Hotel & Restaurant Group Inc.	San Francisco, CA		100.0	
Kirkland & Ellis LLP	Chicago, IL		100.0	
KPMG LLP	New York, NY		100.0	
Kraft Foods Inc.	Northfield, IL		100.0	53.0
Levi Strauss & Co.	San Francisco, CA		100.0	503.0
Limited Brands Inc.	Columbus, OH		100.0	269.0
Littler Mendelson PC	San Francisco, CA		100.0	
Lockheed Martin Corp.	Bethesda, MD		100.0	44.0
Marsh & McLennan Companies Inc.	New York, NY		100.0	221.0
McDermott Will & Emery LLP	Chicago, IL		100.0	
McKinsey & Co. Inc.	New York, NY		100.0	
Medtronic Inc.	Minneapolis, MN		100.0	160.0
MetLife Inc.	New York, NY		100.0	51.0
Microsoft Corp.	Redmond, WA		100.0	36.0
MillerCoors LLC	Chicago, IL		100.0	
Mitchell Gold + Bob Williams	Taylorsville, NC		100.0	
Morgan Lewis & Bockius LLP	Philadelphia, PA		100.0	
Morgan Stanley	New York, NY		100.0	70.0
Morrison & Foerster LLP	San Francisco, CA		100.0	
Nationwide	Columbus, OH		100.0	118.0
Navigant Consulting Inc.	Chicago , IL		100.0	
Nike Inc.	Beaverton, OR		100.0	124.0
Nixon Peabody LLP	New York, NY		100.0	
Nordstrom Inc.	Seattle, WA		100.0	270.0
Northern Trust Corp.	Chicago, IL		100.0	497.0
Office Depot Inc.	Boca Raton, FL		100.0	192.0
Oracle Corp.	Redwood City, CA		100.0	105.0
Orbitz Worldwide Inc.	Chicago, IL		100.0	
"Orrick, Herrington & Sutcliffe LLP"	San Francisco, CA		100.0	
Owens Corning	Toledo, OH		100.0	432.0
Patterson Belknap Webb & Tyler LLP	New York, NY		100.0	
Paul Hastings LLP	Los Angeles, CA		100.0	
"Paul, Weiss, Rifkind, Wharton & Garrison LLP"	New York, NY		100.0	
Perkins Coie LLP	Seattle, WA		100.0	
Pfizer Inc.	New York, NY		100.0	40.0
PG&E Corp.	San Francisco, CA		100.0	173.0
Pillsbury Winthrop Shaw Pittman LLP	New York, NY		100.0	
PricewaterhouseCoopers LLP	New York, NY		100.0	
Prudential Financial Inc.	Newark, NJ		100.0	65.0
Raytheon Co.	Waltham, MA		100.0	95.0
Replacements Ltd.	McLeansville, NC		100.0	
"Robins, Kaplan, Miller & Ciresi LLP"	Minneapolis, MN		100.0	
Ropes & Gray LLP	Boston, MA		100.0	
Schiff Hardin LLP	Chicago, IL		100.0	
Sears Holdings Corp.	Hoffman Estates, IL		100.0	48.0
"Sedgwick, Detert, Moran & Arnold LLP"	San Francisco, CA		100.0	
Sempra Energy	San Diego, CA		100.0	280.0
Seyfarth Shaw LLP	Chicago, IL		100.0	
Shearman & Sterling LLP	New York, NY		100.0	
"Sheppard, Mullin, Richter & Hampton LLP"	Los Angeles, CA		100.0	
"Shook, Hardy & Bacon LLP"	Kansas City, MO		100.0	
Sidley Austin LLP	Chicago, IL		100.0	
"Simpson, Thacher & Bartlett LLP"	New York, NY		100.0	
Sodexo Inc.	Gaithersburg, MD		100.0	
Southern California Edison Co.	Rosemead, CA		100.0	
Sprint Nextel Corp.	Overland Park, KS		100.0	67.0
"Squire, Sanders & Dempsey LLP"	Cleveland, OH		100.0	
Staples Inc.	Framingham, MA		100.0	101.0
Starwood Hotels & Resorts Worldwide	White Plains, NY		100.0	438.0
Sun Life Financial Inc. (u.S.)	Wellesley Hills, MA		100.0	
Supervalu Inc.	Eden Prairie, MN		100.0	47.0
Sutherland Asbill & Brennan LLP	Atlanta, GA		100.0	
Symantec Corp.	Mountain View, CA		100.0	353.0
"TD Bank, N.A."	Wilmington , DE		100.0	
Teachers Insurance & Annuity Association - College Retirement Equities Fund	New York, NY		100.0	90.0
Tech Data Corp.	Clearwater, FL		100.0	109.0
Thompson Coburn LLP	St. Louis, MO		100.0	
Time Warner Inc.	New York, NY		100.0	82.0
"TJX Companies Inc., The"	Framingham, MA		100.0	119.0
Toyota Financial Services Corp.	Torrance, CA		100.0	
Toyota Motor Sales uSA Inc.	Torrance, CA		100.0	
Troutman Sanders LLP	Atlanta, GA		100.0	
u.S. Bancorp	Minneapolis, MN		100.0	121.0
uBS AG	Stamford, CT		100.0	
unilever	Englewood Cliffs, NJ		100.0	
united Continental Holdings Inc.	Chicago, IL		100.0	140.0
united Parcel Service Inc. (uPS)	Atlanta, GA		100.0	43.0
united Technologies Corp.	Hartford, CT		100.0	37.0
unitedHealth Group Inc.	Minnetonka, MN		100.0	21.0
"Wachtell, Lipton, Rosen & Katz LLP"	New York, NY		100.0	
"Walt Disney Co., The"	Burbank, CA		100.0	57.0
Wells Fargo & Co.	San Francisco, CA		100.0	19.0
Whirlpool Corp.	Benton Harbor, MI		100.0	136.0
White & Case LLP	New York, NY		100.0	
Wilmer Cutler Pickering Hale & Dorr LLP	Washington, DC		100.0	
Winston & Strawn LLP	Chicago, IL		100.0	
Xerox Corp.	Norwalk, CT		100.0	152.0
Yahoo! Inc.	Sunnyvale, CA		100.0	343.0
3M Co.	St. Paul, MN		100.0	106.0
A.T. Kearney Inc.	Chicago, IL		100.0	
"AAA Northern California, Nevada & Utah Insurance Exchange"	Walnut Creek, CA		100.0	
Abbott Laboratories	Abbott Park, IL		60.0	75.0
Abercrombie & Fitch Co.	New Albany, OH		100.0	651.0
AbitibiBowater Inc.	Greenville, SC			
Accenture Ltd.	New York, NY		100.0	
Acer Inc.	Irvine, CA			
Adecco North America LLC	Melville, NY		90.0	
Adobe Systems Inc.	San Jose, CA		90.0	657.0
Advance Auto Parts (Advance Holding)	Roanoke, VA			
Advanced Micro Devices Inc.	Sunnyvale, CA		70.0	390.0
AECOM Technology Corp.	Los Angeles, CA		85.0	352.0
AEGON USA Inc.	Cedar Rapids, IA			
"AES Corp., The"	Arlington, VA			
Aetna Inc.	Hartford, CT		100.0	63.0
Affiliated Computer Services	Dallas, TX			
AFLAC Inc.	Columbus, GA			
Agco	Duluth, GA			
Agilent Technologies Inc.	Santa Clara, CA		75.0	461.0
Ahold USA Inc.	Quincy, MA			55.0
AIG	New York, NY		85.0	16.0
Air Products & Chemicals Inc.	Allentown, PA		80.0	273.0
Airgas Inc.	Radnor, PA			
"Akin, Gump, Strauss, Hauer & Feld LLP"	Washington, DC		100.0	
Alaska Air Group Inc.	Seattle, WA		90.0	575.0
Alcatel-Lucent	Murray Hill, NJ		100.0	
Alcoa Inc.	New York, NY		100.0	127.0
Allegheny Energy Inc.	Greensburg, PA			
Allergan Inc.	Irvine, CA			
Alliant Energy Corp.	Madison, WI		50.0	570.0
Alliant Techsystems Inc.	Minneapolis, MN			
Allianz Life Insurance Co. of North America	Minneapolis, MN			60.0
Allscripts-Misys Health care Solutions Inc.	Chicago, IL		30.0	
"Allstate Corp., The"	Northbrook, IL		85.0	68.0
Ally Financial Inc.	Detroit, MI			
Alston & Bird LLP	Atlanta, GA		100.0	
Altria Group Inc.	Richmond, VA			
Amazon.com Inc.	Seattle, WA		90.0	100.0
AMC Entertainment Inc.	Kansas City, MO		90.0	740.0
Ameren Corp.	St. Louis, MO		60.0	320.0
American Eagle Outfitters Inc.	Pittsburgh, PA		80.0	649.0
American Electric Power Co. Inc.	Columbus, OH			
American Express Co.	New York, NY		100.0	88.0
American Family Insurance Group	Madison, WI		55.0	344.0
American Financial Group	Cincinnati, OH			
Amerigroup Corp.	Virginia Beach, VA			
Ameriprise Financial Inc.	Minneapolis, MN		100.0	288.0
AmerisourceBergen Corp.	Chesterbrook, PA			
Amgen Inc.	Thousand Oaks, CA			45.0
AMR Corp. (American Airlines)	Fort Worth, TX		100.0	120.0
Anadarko Petroleum	The Woodlands, TX			
Andrews Kurth LLP	Houston, TX		90.0	
Anheuser-Busch Companies Inc.	St. Louis, MO		90.0	
Anixter International Inc.	Glenview, IL			
Aon Corp.	Chicago, IL		100.0	298.0
Apache Corp.	Houston, TX			
Apple Inc.	Cupertino, CA		100.0	56.0
Applied Materials Inc.	Santa Clara, CA		85.0	421.0
Aramark Corp.	Philadelphia, PA		90.0	189.0
Archer Daniels Midland Co.	Decatur, IL			
Arent Fox LLP	Washington, DC		85.0	
Arnold & Porter LLP	Washington, DC		90.0	
Arrow Electronics	Melville, NY			
ArvinMeritor Inc.	Troy, MI			
Ashland Inc.	Covington, KY			
Assurant	New York, NY		80.0	268.0
"Astellas Pharma uS, Inc."	Deerfield, IL		55.0	
AstraZeneca PLC	Wilmington, DE		60.0	
AT&T Inc.	Dallas, TX		100.0	7.0
Atmos Energy Corp.	Dallas, TX			
Austin Radiological Assn.	Austin, TX			40.0
Autoliv Inc.	Auburn Hills, MI			
Automatic Data Processing Inc.	Roseland, NJ		100.0	265.0
AutoNation Inc.	Fort Lauderdale, FL			
Auto-Owners Insurance Group	Lansing, MI			
AutoZone Inc.	Memphis, TN			
Avaya Inc.	Basking Ridge, NJ		80.0	
Avery Dennison	Pasadena, CA			
Avis Budget Group Inc.	Parsippany, NJ		60.0	409.0
Avnet Inc.	Phoenix, AZ		50.0	142.0
Avon Products Inc.	New York, NY		100.0	228.0
B J's Wholesale Club	Westborough, MA			
Bain & Co. Inc.	Boston, MA		100.0	
Baker & Daniels LLP	Indianapolis, IN		90.0	
Baker & McKenzie LLP	Chicago, IL		100.0	
Baker Botts LLP	Houston, TX		90.0	
Baker Hughes Inc.	Houston, TX			
"Baker, Donelson, Bearman, Caldwell & Berkowitz PC"	Memphis, TN		85.0	
Baldor Electric Co.	Fort Smith, AR			
Ball Corp.	Broomfield, CO		40.0	307.0
Ballard Spahr LLP	Philadelphia, PA		90.0	
Bank of America Corp.	Charlotte, NC		100.0	5.0
"Bank of New York Mellon Corp., The (BNY Mellon)"	New York, NY		100.0	274.0
Barclays Capital	New York, NY		100.0	
Barnes & Noble Inc.	New York, NY		100.0	372.0
BASF Corp.	Florham Park, NJ		90.0	
Bausch & Lomb Inc.	Rochester, NY		85.0	
Baxter International Inc.	Deerfield, IL		60.0	185.0
Bayer Corp.	Pittsburgh, PA		90.0	
BB&T Corp.	Winston-Salem, NC		70.0	217.0
"Becton, Dickinson and Co."	Franklin Lakes, NJ			
Bed Bath & Beyond Inc.	union, NJ			
Berkshire Hathaway Inc.	Omaha, NE			
Best Buy Co. Inc.	Richfield, MN		100.0	45.0
Big Lots	Columbus, OH			
Bingham McCutchen LLP	Boston, MA		100.0	
Biogen Idec Inc	Cambridge, MA			
BlackRock	New York, NY		75.0	441.0
Blockbuster Inc.	Dallas, TX			
Blue Cross Blue Shield of Florida Inc.	Jacksonville, FL		100.0	
Blue Cross Blue Shield of Minnesota	Eagan, MN		100.0	
Blue Cross Blue Shield of North Carolina	Durham, NC		60.0	
BMC Software Inc.	Houston, TX		80.0	872.0
BMO Bankcorp Inc.	Chicago, IL		100.0	
BNP Paribas	New York, NY		85.0	
Boehringer Ingelheim uSA Corp.	Ridgefield, CT		90.0	
Boeing Co.	Chicago, IL		85.0	28.0
"Bon-Ton Stores, Inc."	York, PA		90.0	637.0
Booz Allen Hamilton Inc.	McLean, VA		100.0	
Boston Consulting Group	Boston, MA		100.0	
Boston Scientific Corp.	Natick, MA		65.0	279.0
BP America Inc.	Houston, TX		85.0	
Bracewell & Giuliani	Houston, TX		60.0	
Bridgestone Americas Holding Inc.	Nashville, TN		70.0	
Bright Horizons Family Solutions Inc.	Watertown, MA		90.0	
Brinker International Inc.	Dallas, TX			60.0
Bristol-Myers Squibb Co.	New York, NY		100.0	114.0
Broadcom Corp.	Irvine, CA			
Broadridge Financial Solutions Inc.	Lake Success, NY		90.0	788.0
Brown Rudnick LLP	Boston, MA		100.0	
"Brown Shoe Company, Inc."	St. Louis, MO		45.0	770.0
Brown-Forman Corp.	Louisville, KY		100.0	729.0
Bryan Cave LLP	St. Louis, MO		100.0	
Burger King Corp.	Miami, FL		55.0	721.0
Burlington Northern Santa Fe Corp.	Fort Worth, TX			
C&S Wholesale Grocers Inc.	Keene, NH			
C. H. Robinson Worldwide	Eden Prairie, MN			
CA Inc.	Islandia, NY		80.0	482.0
Cablevision Systems Corp.	Bethpage, NY			
"Cadwalader, Wickersham & Taft LLP"	New York, NY		85.0	
Caesars Entertainment Corp.	Las Vegas, NV		100.0	264.0
Calpine Corp.	Houston, TX			40.0
Cameron International Corp.	Houston, TX			
Campbell Soup Co.	Camden, NJ		100.0	299.0
Canadian Imperial Bank of Commerce	New York, NY			70.0
Capgemini u.S. LLC	New York, NY		50.0	
Capital One Financial Corp.	McLean, VA		100.0	144.0
Cardinal Health Inc.	Dublin, OH		100.0	17.0
CareFusion Corp.	San Diego, CA		90.0	
Cargill Inc.	Wayzata, MN		100.0	
Carlson Companies Inc.	Minnetonka, MN		85.0	
Carlton Fields PA	Tampa, FL		100.0	
CarMax Inc.	Richmond, VA		85.0	323.0
"Casey's General Stores, Inc."	Ankeny, IA			
Caterpillar Inc.	Peoria, IL		70.0	66.0
CB Richard Ellis Group Inc.	Los Angeles, CA		85.0	499.0
CBS Corp.	New York, NY		90.0	177.0
CC Media Holdings Inc. (Clear Channel)	San Antonio, TX		75.0	376.0
CDW Corp.	Vernon Hills, IL		90.0	
Celanese Corp.	Dallas, TX			
Centene Corp.	St. Louis, MO			
CenterPoint Energy Inc.	Houston, TX			
CenturyLink Inc.	Monroe, LA		50.0	423.0
Cerner Corp.	North Kansas City, MO		70.0	944.0
CH2M HILL Companies Ltd.	Englewood, CO		85.0	381.0
Chadbourne & Parke LLP	New York, NY		90.0	
Chamberlin Edmonds & Associates Inc.	Atlanta, GA			40.0
Chapman and Cutler LLP	Chicago, IL		100.0	
"Charles Schwab Corp., The"	San Francisco, CA		100.0	465.0
Charter Communications	St.  Louis, MO			
Chesapeake Energy Corp.	Oklahoma City, OK			
Chevron Corp.	San Ramon, CA		100.0	3.0
Chipotle Mexican Grill Inc.	Denver, CO		75.0	
"Choate, Hall & Stewart LLP"	Boston, MA		100.0	
Choice Hotels International Inc.	Silver Spring, MD		100.0	
Chrysler LLC	Auburn Hills, MI		100.0	
CHS Inc.	Inver Grove Heights, MN			
Chubb Corp.	Warren, NJ		100.0	176.0
CIGNA Corp.	Bloomfield, CT		90.0	129.0
Cisco Systems Inc.	San Jose, CA		100.0	58.0
CIT Group Inc.	New York, NY			
Citigroup Inc.	New York, NY		100.0	12.0
Classified Ventures LLC	Chicago, IL		80.0	
"Cleary, Gottlieb, Steen & Hamilton LLP"	New York, NY		90.0	
Clifford Chance uS LLP	New York, NY		100.0	
Clorox Co.	Oakland, CA		100.0	384.0
CMS Energy Services	Jackson, MI			
CNA Insurance	Chicago, IL		85.0	
CNO Financial Group Inc.	Carmel, IN			
"Coca-Cola Co., The"	Atlanta, GA		100.0	72.0
Coca-Cola Enterprises Inc.	Atlanta, GA		75.0	113.0
Colgate-Palmolive Co.	New York, NY		85.0	151.0
Comcast Corp.	Philadelphia, PA		80.0	59.0
Comerica Inc.	Dallas, TX		95.0	615.0
Commercial Metals	Irving, TX			
Community Health Systems Inc.	Franklin, TN			
Compass Bancshares Inc. (BBVA Compass)	Birmingham, AL		55.0	
Compass Group uSA Inc.	Charlotte, NC			
Computer Sciences Corp. (CSC)	Falls Church, VA		85.0	138.0
Compuware Corp.	Detroit, MI		70.0	
ConAgra Foods Inc.	Omaha, NE		75.0	178.0
ConocoPhillips	Houston, TX			55.0
"Consol Energy, Inc."	Canonsburg, PA			
Consolidated Edison Co.	New York, NY		90.0	175.0
Constellation Energy Group Inc.	Baltimore, MD		90.0	149.0
Convergys Corp.	Cincinnati, OH		45.0	666.0
Con-way Inc.	San Mateo, CA			
Cooper Tire & Rubber Co.	Findlay, OH			25.0
Corbis Corp.	Seattle, WA			
CoreLogic	Santa Ana, CA		90.0	
Core-Mark Holding Company Inc.	South San Francisco, CA			
Corning Inc.	Corning, NY		100.0	391.0
Costco Wholesale Corp.	Issaquah, WA		90.0	25.0
Coventry Health Care	Bethesda, MD			
Covington & Burling LLP	Washington, DC		100.0	
Cox Enterprises Inc.	Atlanta, GA		90.0	
Cracker Barrel Old Country Store Inc.	Lebanon, TN		35.0	746.0
"Cravath, Swaine & Moore LLP"	New York, NY		90.0	
Credit Suisse uSA Inc.	New York, NY		100.0	
Crowell & Moring LLP	Washington, DC		100.0	
Crown Holdings	Philadelphia, PA			
CSX Corp.	Jacksonville, FL		85.0	259.0
Cummins Inc.	Columbus, IN		100.0	218.0
CuNA Mutual Insurance Group	Madison, WI			30.0
CVS Caremark Corp.	Woonsocket, RI		75.0	18.0
Dana Holding Corp.	Maumee, OH			
Danaher Corp.	Washington, DC			
Darden Restaurants Inc.	Orlando, FL		90.0	311.0
Davis Polk & Wardwell LLP	New York, NY		90.0	
Davis Wright Tremaine LLP	Seattle, WA		75.0	
DaVita Inc.	El Segundo, CA			
Dean Foods Co.	Dallas, TX			40.0
Debevoise & Plimpton LLP	New York, NY		100.0	
Deere & Co.	Moline, IL		60.0	107.0
Delhaize America Inc.	Salisbury, NC		100.0	
Dell Inc.	Round Rock, TX		100.0	38.0
Deloitte LLP	New York, NY		100.0	
Delta Air Lines Inc.	Atlanta, GA		90.0	84.0
Deutsche Bank	New York, NY		100.0	
Devon Energy Corp.	Oklahoma City, OK			
Dewey & LeBoeuf LLP	New York, NY		100.0	
Diageo North America	Norwalk, CT		100.0	
Dick's Sporting Goods Inc.	Coraopolis, PA			
Dickstein Shapiro LLP	Washington, DC		90.0	
Dillard's Inc.	Little Rock, AR			
DIRECTV	El Segundo, CA		75.0	116.0
Discover Financial Services	Riverwoods, IL		45.0	286.0
DISH Network Corp.	Englewood, CO			
DLA Piper	Baltimore, MD		100.0	
Dole Food Co. Inc.	Westlake Village, CA			
Dollar General Corp.	Goodlettsville, TN			
Dollar Thrifty Automotive Group Inc.	Tulsa, OK		80.0	998.0
Dollar Tree Stores Inc.	Chesapeake, VA			
Dominion Resources Inc.	Richmond, VA		85.0	153.0
Domino's Pizza Inc.	Ann Arbor, MI		35.0	
Domtar Corp.	Fort Mill, SC			
Dorsey & Whitney LLP	Minneapolis, MN		100.0	
Dover Corp.	New York, NY			
"Dow Chemical Co., The"	Midland, MI		100.0	46.0
Dr Pepper Snapple Group Inc.	Plano, TX			
Drinker Biddle & Reath LLP	Philadelphia, PA		90.0	
DTE Energy Co.	Detroit, MI		45.0	285.0
Duane Morris LLP	Philadelphia, PA		85.0	
Duke Energy Corp.	Charlotte, NC		70.0	181.0
"Dun & Bradstreet Corp., The"	Short Hills, NJ			
Dykema Gossett PLLC	Detroit, MI		70.0	
E&J Gallo Winery	Modesto, CA		60.0	
E*TRADE Financial Corp.	New York, NY		60.0	675.0
E. I. du Pont de Nemours and Co. (DuPont)	Wilmington, DE		100.0	86.0
EarthLink Inc.	Atlanta, GA			55.0
Eastman Chemical Co.	Kingsport, TN			
Eastman Kodak Co.	Rochester, NY		100.0	297.0
Eaton Corp.	Cleveland, OH			
eBay Inc.	San Jose, CA		100.0	267.0
Ecolab Inc.	St. Paul, MN		90.0	365.0
Edwards Angell Palmer & Dodge LLP	Boston, MA		100.0	
El Paso Corp	Houston, TX			
Electronic Arts Inc.	Redwood City, CA		90.0	494.0
Eli Lilly & Co.	Indianapolis, IN		100.0	112.0
EMC Corp.	Hopkinton, MA		100.0	166.0
EMCOR Group Inc	Norwalk, CT			
Emerson Electric Co.	St. Louis, MO			
Enbridge Energy Partners	Houston, TX			
Energy Future Holdings Corp	Dallas, TX			
"Energy Transfer Partners, L.P."	Dallas, TX			
Entergy Corp.	New Orleans, LA		90.0	219.0
Enterprise Holdings Inc.	St. Louis, MO		50.0	
EOG Resources	Houston, TX			
Epstein Becker & Green PC	New York, NY		90.0	
Erie Insurance Group	Erie, PA			
Ernst & Young LLP	New York, NY		100.0	
"Estée Lauder Companies Inc., The"	New York, NY		75.0	308.0
Esurance Inc.	San Francisco, CA		90.0	
Excellus Health Plan Inc.	Rochester, NY		90.0	
Exelon Corp.	Chicago, IL		100.0	134.0
Expedia Inc.	Bellevue, WA		80.0	654.0
Express Scripts Inc.	St. Louis, MO			
Exxon Mobil Corp.	Irving, TX			
Faegre & Benson LLP	Minneapolis, MN		100.0	
Family Dollar Stores	Matthews, NC			
Federal Home Loan Mortgage Corp. (Freddie Mac)	McLean, VA		100.0	54.0
Federal National Mortgage Association (Fannie Mae)	Washington, DC		80.0	81.0
Federal Reserve Bank of Boston	Boston, MA		70.0	
FedEx Corp.	Memphis, TN		75.0	60.0
Fenwick & West LLP	Mountain View, CA		100.0	
Fidelity National Financial Corp.	Jacksonville, FL			
Fifth Third Bancorp	Cincinnati, OH		70.0	248.0
Financial Industry Regulatory Authority Inc.	Washington, DC		65.0	
"Finnegan, Henderson, Farabow, Garrett & Dunner LLP"	Washington, DC		90.0	
First American Financial Corp.	Santa Ana, CA			
First Data Corp.	Atlanta, GA			
First Horizon National Corp.	Memphis, TN		85.0	773.0
FirstEnergy Corp.	Akron, OH			
Fiserv Inc.	Brookfield, WI			
Fish & Richardson PC	Boston, MA		90.0	
Flowserve	Irving, TX			
Fluor Corp	Irving, TX			
FMC Technologies Inc.	Houston, TX			
Foley & Lardner LLP	Milwaukee, WI	60.0		36.0
H.E. Butt Grocery Co.	San Antonio, TX			
H.J. Heinz Co.	Pittsburgh, PA		65.0	233.0
Hain Celestial Group Inc.	Melville, NY		65.0	
Halliburton Co.	Houston, TX			
Hallmark Cards Inc.	Kansas City, MO		90.0	
Hanesbrands Inc.	Winston-Salem, NC			
Hanover Direct Inc.	Weehawken, NJ		70.0	
Harley-Davidson Inc.	Milwaukee, WI			
Harris Corp.	Melbourne, FL			
Harris Interactive Inc.	New York, NY		70.0	
Harry & David Holdings Inc.	Medford, OR		70.0	
"Hartford Financial Services Group Inc., The"	Hartford, CT		90.0	97.0
Harvard Pilgrim Health Care Inc.	Wellesley, MA		85.0	
Hasbro Inc.	Pawtucket, RI			
Haynes and Boone LLP	Dallas, TX		85.0	
HCA - Hospital Corporation of America	Nashville, TN			
Health Care Service Corp.	Chicago, IL		85.0	
Health Management Associates Inc.	Naples, FL			
Health Net Inc.	Woodland Hills, CA		80.0	146.0
Henry Schein	Melville, NY			
Herman Miller Inc.	Zeeland, MI		100.0	965.0
Herrick Feinstein LLP	New York, NY		75.0	
